"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Millepora",22.71,17.74,28.19
"Indo-Pacific","Montastraea",5.69,4.73,6.79
"Indo-Pacific","Montipora",16.43,12.98,20.05
"Indo-Pacific","Montipora (branching)",32.92,25.59,40.31
"Indo-Pacific","Montipora (encrusting)",5.7,4.48,7.16
"Indo-Pacific","Montipora (foliose)",10.67,8.88,12.68
"Indo-Pacific","Oulophyllia",27.45,20.53,35.03
"Indo-Pacific","Pachyseris",10.52,8.98,12.1
"Indo-Pacific","Phymastrea",6.49,5.48,7.62
"Indo-Pacific","Platygyra",18.18,14.89,21.66
"Indo-Pacific","Plerogyra",16.81,12.97,21.18
"Indo-Pacific","Pocillopora",38.16,32.82,43.95
"Indo-Pacific","Porites",15.7,13.05,18.5
"Indo-Pacific","Porites (branching)",20.95,17.94,24.27
"Indo-Pacific","Porites (massive)",31.03,25.27,36.81
"Indo-Pacific","Psammocora",5.75,4.42,7.38
"Indo-Pacific","Rock",-0.46,-0.53,-0.35
"Indo-Pacific","Stylophora",27.21,21.6,33.52
"Indo-Pacific","Symphyllia",25.19,20.63,30.29
"Indo-Pacific","Turbinaria (coral)",9.82,7.63,12.33
"Indo-Pacific","Turf on rubble",-0.47,-0.57,-0.38
