Name,Functional Group,Default
Bleached Acanthastrea Sub-massive,Hard coral,BlAcaSM
Bleached Acropora,Hard coral,B_Acro
Bleached Acropora (arborescent),Hard coral,B_Acr_arb
Bleached Acropora branching,Hard coral,BAcroBr
Bleached Acropora corymbose,Hard coral,BlAcro-Cor
Bleached Acropora Digitate,Hard coral,BlAcrDig
Bleached Acropora Encrusting,Hard coral,BlAcrEnc
Bleached Acropora formosa.,Hard coral,B_ACfor
Bleached Acropora tabulate,Hard coral,BAT
Bleached Agaricia gahamae,Hard coral,BL_AgGra
Bleached Alveopora Encrusting,Hard coral,BlAlvEnc
Bleached Alveopora Sub-massive,Hard coral,BlAlvSM
Bleached Anomastraea,Hard coral,B_Anon
Bleached Astreopora,Hard coral,B_Astreo
Bleached Astreopora Encrusting,Hard coral,BlAstrEnc
Bleached Astreopora Sub-Massive,Hard coral,BlAstrSM
Bleached Astreopora Tabulate,Hard coral,BlAstrTab
Bleached Blastomussa Sub-Massive,Hard coral,BlBlastoSM
Bleached branching,Hard coral,BlB
Bleached Colpophyllia natans,Hard coral,BL_CoNat
Bleached Coscinarea,Hard coral,B_Cosc
Bleached Coscinarea Encrusting,Hard coral,BlCoscEnc
Bleached Coscinarea Sub-Massive,Hard coral,BlCoscSM
Bleached Cycloseris,Hard coral,B_Cyclo
Bleached Cyphastrea,Hard coral,B_Cyph
Bleached Cyphastrea ocellina,Hard coral,BLCOce
Bleached Cyphastrea Sub-Massive,Hard coral,BlCypSM
Bleached Diploastrea,Hard coral,BDIPLO
Bleached Diploria labyrinthiformes,Hard coral,DLAB-BL
Bleached Dipsastraea,Hard coral,B_Dipsa
Bleached Echinophyllia,Hard coral,B_Echin
Bleached Echinopora,Hard coral,B_Echinop
Bleached Encrusting,Hard coral,BlE
Bleached Favia Encrusting,Hard coral,BlFavEnc
Bleached Favia matthai,Hard coral,B_FaviaM
Bleached Favia sp.,Hard coral,B_Favia
Bleached Favia Sub-massive,Hard coral,BlFavSM
Bleached Favites,Hard coral,B_Favites
Bleached Favites Encrusting,Hard coral,BlFaviEn
Bleached Favites pentagona,Hard coral,B_FavPent
Bleached Favites Sub-massive,Hard coral,BlFaviSM
Bleached Fungia,Hard coral,B_Fungia
Bleached Galaxea,Hard coral,BGalax
Bleached Gardineroseris,Hard coral,BGard
Bleached Goniastrea,Hard coral,BGon
Bleached Goniastrea Sub-massive,Hard coral,BlGoniSM
Bleached Goniopora,Hard coral,B_Goniop
Bleached Halomitra,Hard coral,BHalo
Bleached Hard Coral,Hard coral,B_HC
Bleached Herpolitha,Hard coral,BHerpo
Bleached Heteropsammia cochlea,Hard coral,BlHetcFL
Bleached Hydnophora,Hard coral,BHydno
Bleached Isopora,Hard coral,Blisop
Bleached Isopora Columnar,Hard coral,BlIsoCol
Bleached Isopora Encrusting,Hard coral,BlIsoEnc
Bleached Isopora Sub-Massive,Hard coral,BlIsoSM
Bleached Leptastrea,Hard coral,B_Leptastr
Bleached Leptastrea purpurea,Hard coral,BLLPur
Bleached Leptastrea Sub-Massive,Hard coral,BlLepSM
Bleached Leptoria,Hard coral,BlLept
Bleached Leptoseris,Hard coral,Bleptos
Bleached Leptoseris Branching,Hard coral,BlLepBr
Bleached Leptoseris Encrusting,Hard coral,BlLepEnc
Bleached Lobactis scutaria,Hard coral,B_LobScut
Bleached Lobophyllia sp.,Hard coral,B_Lobo
Bleached Madracis,Hard coral,BMADR
Bleached M. Annularis,Hard coral,BMA
Bleached massive,Hard coral,BlMa
Bleached Merulina,Hard coral,B_Mer
Bleached Montastrea Encrusting,Hard coral,BlMonEnc
Bleached Montastrea Sub-Massive,Hard coral,BlMonSM
Bleached Montipora,Hard coral,B_Monti
Bleached Montipora capitata,Hard coral,BMCAP
Bleached Montipora flabellata,Hard coral,BMFLA
Bleached Montipora flabellata,Hard coral,B_MontiFla
Bleached Montipora patula,Hard coral,BMPAT
Bleached Montipora Sub-Massive,Hard coral,BlMontSM
Bleached Montipora Tabulate,Hard coral,BlMontTbl
Bleached Mycedium,Hard coral,B_Myc
Bleached Orbicella,Hard coral,BORB
Bleached Orbicella annularis,Hard coral,BL_OrbAnn
Bleached Orbicella faveolata,Hard coral,BL_OrbFav
Bleached Orbicella franksi,Hard coral,BL_OrbFran
Bleached Other Acropora,Hard coral,BOAcro
Bleached Other Corals,Hard coral,BleOC
Bleached Oulophyllia,Hard coral,BOulo
Bleached Oxypora,Hard coral,B_Oxyp
Bleached Pachyseris,Hard coral,BPach
Bleached Partial Acanthastrea Sub-massive,Hard coral,BlPtAcaSM
Bleached Partial Acropora branching,Hard coral,BlPtAcrBra
Bleached Partial Acropora corymbose,Hard coral,BlPtAcrCor
Bleached Partial Acropora Digitate,Hard coral,BlPtAcrDig
Bleached Partial Acropora Encrusting,Hard coral,BlPtAcrEnc
Bleached Partial Acropora tabulate,Hard coral,BlPtAcrTbl
Bleached Partial Alveopora Encrusting,Hard coral,BlPtAlvEnc
Bleached Partial Alveopora Sub-massive,Hard coral,BlPtAlvSM
Bleached Partial Astreopora Encrusting,Hard coral,BlPAstrEnc
Bleached Partial Astreopora Sub-Massive,Hard coral,BlPAstrSM
Bleached Partial Astreopora Tabulate,Hard coral,BlPAstrTab
Bleached Partial Coscinarea Encrusting,Hard coral,BlPtCosEnc
Bleached Partial Cyphastrea Sub-Massive,Hard coral,BlPtCypSM
Bleached Partial Echinophyllia Encrusting,Hard coral,BlPtEchEnc
Bleached Partial Echinopora Foliose,Hard coral,BlPtEchFol
Bleached Partial Favia Encrusting,Hard coral,BlPtFavEnc
Bleached Partial Favia Sub-massive,Hard coral,BlPtFavSM
Bleached Partial Favites Encrusting,Hard coral,BlPtFaviEn
Bleached Partial Favites Sub-massive,Hard coral,BlPtFaviSM
Bleached Partial Isopora Columnar,Hard coral,BlPtIsoCol
Bleached Partial Isopora Encrusting,Hard coral,BlPtIsoEnc
Bleached Partial Isopora Sub-Massive,Hard coral,BlPtIsoSM
Bleached Partial Leptastrea Encrusting,Hard coral,BlPtLepEnc
Bleached Partial Leptastrea Sub-Massive,Hard coral,BlPtLepSM
Bleached Partial Leptoseris Branching,Hard coral,BlPtLepBr
Bleached Partial Leptoseris Encrusting,Hard coral,BlPtLepEn
Bleached Partial Lobophyllia Foliose,Hard coral,BlPtMerFol
Bleached Partial Lobophyllia Sub-Massive,Hard coral,BlPtLobSM
Bleached Partial Montastrea Encrusting,Hard coral,BlPtMonEnc
Bleached Partial Montastrea Sub-Massive,Hard coral,BlPtMonSM
Bleached Partial Montipora Encrusting,Hard coral,BlPtMontEn
Bleached Partial Montipora Sub-Massive,Hard coral,BlPtMontSM
Bleached Partial Montipora Tabulate,Hard coral,BlPtMontTb
Bleached Partial Pavona Sub-Massive,Hard coral,BlPtPavSM
Bleached Partial Platygyra Encrusting,Hard coral,BlPtPlatEn
